Erfassungsdatum;Medium;Zaehlerstand
28.02.2017;GAS;5267.5
28.02.2017;STROM;82268.0
28.02.2017;WASSER;365.6
30.04.2017;GAS;5683.9
30.04.2017;STROM;82760.4
30.04.2017;WASSER;379.9
30.06.2017;GAS;5878.0
30.06.2017;STROM;83125.8
30.06.2017;WASSER;397.6
30.09.2017;GAS;6075.6
30.09.2017;STROM;83780.1
30.09.2017;WASSER;421.7
30.11.2017;GAS;6541.8
30.11.2017;STROM;84432.5
30.11.2017;WASSER;437.8
31.01.2017;GAS;4939.4
31.01.2017;STROM;81907.3
31.01.2017;WASSER;357.6
31.03.2017;GAS;5531.3
31.03.2017;STROM;82579.1
31.03.2017;WASSER;374.3
31.05.2017;GAS;5811.2
31.05.2017;STROM;82955.7
31.05.2017;WASSER;387.6
31.07.2017;GAS;5914.7
31.07.2017;STROM;83290.8
31.07.2017;WASSER;403.4
31.08.2017;GAS;5975.9
31.08.2017;STROM;83515.6
31.08.2017;WASSER;411.6
31.10.2017;GAS;6203.9
31.10.2017;STROM;83993.9
31.10.2017;WASSER;427.7
31.12.2017;GAS;6810.4
31.12.2017;STROM;84802.6
31.12.2017;WASSER;444.3
