Erfassungsdatum;Medium;Zaehlerstand
28.02.2021;GAS;13579.8
28.02.2021;STROM;7928.0
28.02.2021;WASSER;283.3
30.04.2021;GAS;14017.8
30.04.2021;STROM;8678.0
30.04.2021;WASSER;308.1
31.01.2021;GAS;13300.7
31.01.2021;STROM;7509.0
31.01.2021;WASSER;271.0
31.03.2021;GAS;13847.5
31.03.2021;STROM;8422.0
31.03.2021;WASSER;297.9
31.05.2021;GAS;14149.8
31.05.2021;STROM;8982.0
31.05.2021;WASSER;318.3
