Erfassungsdatum;Medium;Zaehlerstand
29.02.2020;GAS;11759.4
29.02.2020;STROM;3486.0
29.02.2020;WASSER;127.0
30.04.2020;GAS;12090.7
30.04.2020;STROM;4183.0
30.04.2020;WASSER;157.1
30.06.2020;GAS;12198.8
30.06.2020;STROM;4869.0
30.06.2020;WASSER;182.0
30.09.2020;GAS;12296.7
30.09.2020;STROM;5874.0
30.09.2020;WASSER;219.7
30.11.2020;GAS;12662.5
30.11.2020;STROM;6488.0
30.11.2020;WASSER;242.4
31.01.2020;GAS;11475.5
31.01.2020;STROM;3235.0
31.01.2020;WASSER;116.3
31.03.2020;GAS;11993.4
31.03.2020;STROM;3798.0
31.03.2020;WASSER;140.4
31.05.2020;GAS;12164.8
31.05.2020;STROM;4505.0
31.05.2020;WASSER;168.7
31.07.2020;GAS;12227.2
31.07.2020;STROM;5235.0
31.07.2020;WASSER;194.8
31.08.2020;GAS;12243.3
31.08.2020;STROM;5514.0
31.08.2020;WASSER;204.9
31.10.2020;GAS;12444.1
31.10.2020;STROM;6167.0
31.10.2020;WASSER;230.0
31.12.2020;GAS;12959.5
31.12.2020;STROM;7043.0
31.12.2020;WASSER;257.0
